Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System694,Planet1,738.85,738.85,0.26,0.51,58.39,N,No
System694,Planet2,841.7,841.7,0.25,0.46,-15.45,N,No
System694,Planet3,82.14,82.14,0.15,0.31,-27.32,N,No
System695,Planet1,256.53,256.53,0.26,0.65,16.69,Y,No
System695,Planet2,1097.47,1097.47,0.18,0.44,76.59,Y,No
System695,Planet3,915.33,915.33,0.11,0.62,57.98,Y,No
System696,Planet1,1059.13,1059.13,0.28,0.56,23.04,Y,No
System696,Planet2,1451.56,1451.56,0.25,0.41,41.32,N,No
System696,Planet3,1387.05,1387.05,0.15,0.42,7.0,Y,No
System697,Planet1,1498.35,1498.35,0.17,0.37,-0.06,N,No
System697,Planet2,917.7,917.7,0.11,0.49,-22.83,Y,No
System697,Planet3,639.67,639.67,0.24,0.57,-23.13,N,No
System698,Planet1,182.63,182.63,0.26,0.43,6.67,Y,No
System698,Planet2,1212.71,1212.71,0.14,0.78,52.14,N,No
System698,Planet3,1029.92,1029.92,0.3,0.51,51.0,Y,No
System699,Planet1,162.46,162.46,0.25,0.49,10.84,N,No
System699,Planet2,393.61,393.61,0.25,0.44,98.65,Y,No
System699,Planet3,788.93,788.93,0.29,0.55,-27.38,Y,No
System700,Planet1,360.77,360.77,0.11,0.36,85.98,Y,No
System700,Planet2,205.51,205.51,0.12,0.48,47.48,Y,No
System700,Planet3,1383.34,1383.34,0.21,0.79,98.79,Y,No
System701,Planet1,317.93,317.93,0.21,0.75,99.58,Y,No
System701,Planet2,1276.68,1276.68,0.23,0.47,96.01,N,No
System701,Planet3,645.03,645.03,0.2,0.63,-8.18,N,No
System702,Planet1,1225.14,1225.14,0.26,0.77,64.57,N,No
System702,Planet2,676.24,676.24,0.22,0.38,53.26,N,No
System702,Planet3,1239.47,1239.47,0.24,0.51,42.12,Y,No
System703,Planet1,710.35,710.35,0.24,0.52,34.19,Y,No
System703,Planet2,472.29,472.29,0.26,0.61,4.63,N,No
System703,Planet3,578.56,578.56,0.3,0.4,81.5,Y,No
System704,Planet1,568.02,568.02,0.28,0.46,33.71,Y,No
System704,Planet2,261.53,261.53,0.13,0.68,46.64,Y,No
System704,Planet3,308.47,308.47,0.16,0.36,23.84,N,No
System705,Planet1,886.82,886.82,0.13,0.46,72.45,Y,No
System705,Planet2,862.46,862.46,0.18,0.73,86.17,Y,No
System705,Planet3,1399.22,1399.22,0.27,0.39,26.08,N,No
System706,Planet1,145.22,145.22,0.13,0.45,91.25,N,No
System706,Planet2,870.42,870.42,0.15,0.78,66.8,Y,No
System706,Planet3,718.32,718.32,0.24,0.51,-4.55,Y,No
System707,Planet1,799.92,799.92,0.11,0.62,95.82,Y,No
System707,Planet2,308.94,308.94,0.21,0.36,-3.03,N,No
System707,Planet3,431.88,431.88,0.12,0.48,53.12,N,No
System708,Planet1,6.89,6.89,0.2,0.63,45.95,N,No
System708,Planet2,1478.26,1478.26,0.14,0.76,14.27,N,No
System708,Planet3,46.38,46.38,0.16,0.41,79.2,N,No
System709,Planet1,1290.72,1290.72,0.11,0.36,-28.67,Y,No
System709,Planet2,1388.94,1388.94,0.18,0.61,46.45,Y,No
System709,Planet3,1437.65,1437.65,0.24,0.32,33.66,N,No
System710,Planet1,1270.98,1270.98,0.12,0.61,-17.36,Y,No
System710,Planet2,1468.06,1468.06,0.17,0.79,71.86,N,No
System710,Planet3,272.28,272.28,0.29,0.34,73.03,N,No
System711,Planet1,561.01,561.01,0.3,0.34,59.13,N,No
System711,Planet2,837.45,837.45,0.19,0.76,42.53,Y,No
System711,Planet3,1094.18,1094.18,0.12,0.38,38.08,Y,No
System712,Planet1,42.2,42.2,0.27,0.69,58.39,Y,No
System712,Planet2,637.38,637.38,0.24,0.35,86.6,Y,No
System712,Planet3,184.74,184.74,0.23,0.76,-28.39,Y,No
System713,Planet1,1115.73,1115.73,0.17,0.75,81.72,N,No
System713,Planet2,1284.98,1284.98,0.22,0.62,56.83,N,No
System713,Planet3,138.71,138.71,0.25,0.75,5.25,Y,No
System714,Planet1,433.9,433.9,0.2,0.4,31.81,Y,No
System714,Planet2,1057.6,1057.6,0.19,0.34,-8.18,Y,No
System714,Planet3,1171.29,1171.29,0.22,0.7,32.96,Y,No
System715,Planet1,568.88,568.88,0.28,0.56,23.07,Y,No
System715,Planet2,17.66,17.66,0.29,0.76,1.84,Y,No
System715,Planet3,832.7,832.7,0.21,0.68,12.31,Y,No
System716,Planet1,762.0,762.0,0.22,0.49,83.01,N,No
System716,Planet2,519.03,519.03,0.14,0.46,63.58,N,No
System716,Planet3,92.4,92.4,0.1,0.47,50.43,Y,No
System717,Planet1,656.89,656.89,0.2,0.36,59.49,N,No
System717,Planet2,51.69,51.69,0.11,0.55,96.64,N,No
System717,Planet3,611.3,611.3,0.2,0.54,39.89,N,No
System718,Planet1,1337.92,1337.92,0.24,0.36,-1.64,N,No
System718,Planet2,30.72,30.72,0.23,0.39,-21.9,N,No
System718,Planet3,1044.37,1044.37,0.11,0.78,70.51,N,No
System719,Planet1,1383.66,1383.66,0.22,0.78,71.15,N,No
System719,Planet2,312.42,312.42,0.26,0.78,59.54,Y,No
System719,Planet3,148.16,148.16,0.12,0.55,64.73,N,No
System720,Planet1,927.17,927.17,0.26,0.42,11.56,N,No
System720,Planet2,1087.14,1087.14,0.21,0.54,33.39,Y,No
System720,Planet3,826.64,826.64,0.29,0.64,91.14,N,No
System721,Planet1,786.87,786.87,0.13,0.66,7.31,N,No
System721,Planet2,708.48,708.48,0.24,0.56,17.96,Y,No
System721,Planet3,278.51,278.51,0.16,0.44,18.65,N,No
System722,Planet1,747.49,747.49,0.28,0.47,24.05,Y,No
System722,Planet2,1379.9,1379.9,0.11,0.35,-28.67,Y,No
System722,Planet3,273.03,273.03,0.21,0.61,50.4,Y,No
System723,Planet1,539.18,539.18,0.18,0.49,61.7,Y,No
System723,Planet2,1483.41,1483.41,0.16,0.55,-13.22,N,No
System723,Planet3,1227.47,1227.47,0.21,0.75,18.47,N,No
System724,Planet1,443.48,443.48,0.24,0.35,-24.62,N,No
System724,Planet2,1016.38,1016.38,0.23,0.79,44.91,Y,No
System724,Planet3,892.24,892.24,0.26,0.36,60.96,Y,No
System725,Planet1,830.94,830.94,0.3,0.62,14.13,Y,No
System725,Planet2,1364.39,1364.39,0.26,0.34,88.91,Y,No
System725,Planet3,928.96,928.96,0.25,0.66,-18.55,Y,No
System726,Planet1,1284.14,1284.14,0.12,0.56,17.69,N,No
System726,Planet2,1265.39,1265.39,0.12,0.33,37.82,Y,No
System726,Planet3,810.42,810.42,0.27,0.42,53.03,Y,No
System727,Planet1,297.35,297.35,0.17,0.38,41.76,Y,No
System727,Planet2,429.1,429.1,0.25,0.49,-10.73,N,No
System727,Planet3,876.25,876.25,0.14,0.6,37.05,Y,No
System728,Planet1,1371.02,1371.02,0.19,0.56,90.67,N,No
System728,Planet2,1407.38,1407.38,0.17,0.36,56.59,Y,No
System728,Planet3,22.05,22.05,0.23,0.61,79.16,Y,No
System729,Planet1,1290.47,1290.47,0.15,0.38,15.32,N,No
System729,Planet2,730.31,730.31,0.17,0.42,56.9,Y,No
System729,Planet3,16.45,16.45,0.11,0.37,93.08,Y,No
System730,Planet1,852.45,852.45,0.14,0.63,19.44,Y,No
System730,Planet2,348.85,348.85,0.26,0.72,91.92,Y,No
System730,Planet3,1285.41,1285.41,0.2,0.65,94.63,Y,No
System731,Planet1,378.4,378.4,0.2,0.48,41.53,N,No
System731,Planet2,9.99,9.99,0.25,0.38,96.77,N,No
System731,Planet3,538.88,538.88,0.25,0.39,38.39,N,No
System732,Planet1,1496.26,1496.26,0.19,0.4,16.57,Y,No
System732,Planet2,112.9,112.9,0.18,0.36,95.9,Y,No
System732,Planet3,421.7,421.7,0.17,0.49,51.41,N,No
System733,Planet1,1109.03,1109.03,0.15,0.63,61.97,N,No
System733,Planet2,537.06,537.06,0.21,0.62,64.78,N,No
System733,Planet3,1269.59,1269.59,0.11,0.33,64.71,N,No
System734,Planet1,734.71,734.71,0.19,0.61,78.62,N,No
System734,Planet2,885.0,885.0,0.12,0.78,41.98,Y,No
System734,Planet3,665.66,665.66,0.12,0.39,56.48,N,No
System735,Planet1,63.51,63.51,0.21,0.37,78.3,Y,No
System735,Planet2,755.31,755.31,0.18,0.56,64.04,Y,No
System735,Planet3,907.75,907.75,0.13,0.48,56.8,N,No
System736,Planet1,1215.35,1215.35,0.28,0.34,30.94,Y,No
System736,Planet2,102.8,102.8,0.11,0.68,38.39,N,No
System736,Planet3,982.62,982.62,0.21,0.47,39.5,Y,No
System737,Planet1,80.13,80.13,0.17,0.7,59.85,N,No
System737,Planet2,1003.45,1003.45,0.11,0.76,68.09,N,No
System737,Planet3,466.88,466.88,0.21,0.36,98.2,N,No
System738,Planet1,1432.33,1432.33,0.28,0.73,54.27,N,No
System738,Planet2,794.73,794.73,0.26,0.32,4.69,N,No
System738,Planet3,1242.67,1242.67,0.12,0.36,44.57,N,No
System739,Planet1,652.08,652.08,0.27,0.55,66.68,N,No
System739,Planet2,420.47,420.47,0.26,0.32,-28.41,N,No
System739,Planet3,298.25,298.25,0.26,0.76,30.34,Y,No
System740,Planet1,18.12,18.12,0.29,0.74,37.71,Y,No
System740,Planet2,109.47,109.47,0.29,0.32,51.84,Y,No
System740,Planet3,1360.26,1360.26,0.24,0.4,59.01,N,No
System741,Planet1,1238.69,1238.69,0.11,0.4,-9.68,Y,No
System741,Planet2,417.41,417.41,0.29,0.68,-18.44,Y,No
System741,Planet3,435.37,435.37,0.27,0.58,42.46,N,No
System742,Planet1,285.74,285.74,0.18,0.75,52.51,N,No
System742,Planet2,219.01,219.01,0.22,0.34,46.05,Y,No
System742,Planet3,1285.67,1285.67,0.23,0.32,-18.1,N,No
System743,Planet1,1167.07,1167.07,0.29,0.49,51.3,Y,No
System743,Planet2,1334.15,1334.15,0.24,0.31,10.23,Y,No
System743,Planet3,347.9,347.9,0.2,0.53,-17.42,N,No
System744,Planet1,1446.07,1446.07,0.22,0.46,3.89,Y,No
System744,Planet2,681.31,681.31,0.16,0.5,76.87,N,No
System744,Planet3,74.97,74.97,0.17,0.31,47.39,Y,No
System745,Planet1,568.98,568.98,0.18,0.4,-21.53,Y,No
System745,Planet2,1305.44,1305.44,0.25,0.72,47.13,Y,No
System745,Planet3,408.41,408.41,0.25,0.78,49.71,N,No
System746,Planet1,60.52,60.52,0.14,0.73,-23.31,N,No
System746,Planet2,249.01,249.01,0.27,0.61,67.74,Y,No
System746,Planet3,628.97,628.97,0.2,0.38,17.18,N,No
System747,Planet1,584.33,584.33,0.25,0.39,18.39,N,No
System747,Planet2,854.05,854.05,0.22,0.8,25.76,N,No
System747,Planet3,828.15,828.15,0.2,0.73,83.08,N,No
System748,Planet1,855.33,855.33,0.29,0.43,95.37,Y,No
System748,Planet2,1452.08,1452.08,0.3,0.65,-23.11,Y,No
System748,Planet3,817.79,817.79,0.28,0.4,59.48,N,No
System749,Planet1,391.51,391.51,0.28,0.38,4.75,Y,No
System749,Planet2,534.78,534.78,0.19,0.47,47.45,N,No
System749,Planet3,145.56,145.56,0.25,0.38,-20.15,Y,No
System750,Planet1,1158.92,1158.92,0.27,0.65,42.1,N,No
System750,Planet2,961.2,961.2,0.19,0.55,97.21,Y,No
System750,Planet3,1062.07,1062.07,0.22,0.74,3.88,N,No
System751,Planet1,651.63,651.63,0.16,0.37,54.37,N,No
System751,Planet2,2.09,2.09,0.24,0.75,-20.91,Y,No
System751,Planet3,298.45,298.45,0.2,0.62,67.44,N,No
System752,Planet1,491.81,491.81,0.24,0.62,-29.37,Y,No
System752,Planet2,1100.08,1100.08,0.14,0.58,39.77,N,No
System752,Planet3,1481.93,1481.93,0.14,0.4,76.71,N,No
System753,Planet1,1114.71,1114.71,0.11,0.76,-18.81,N,No
System753,Planet2,303.44,303.44,0.22,0.45,32.2,N,No
System753,Planet3,1125.73,1125.73,0.11,0.42,39.2,N,No
System754,Planet1,541.25,541.25,0.12,0.32,-3.92,N,No
System754,Planet2,385.52,385.52,0.16,0.73,35.89,Y,No
System754,Planet3,1219.66,1219.66,0.22,0.59,-0.9,Y,No
System755,Planet1,1414.55,1414.55,0.24,0.55,78.56,Y,No
System755,Planet2,58.61,58.61,0.23,0.51,32.91,N,No
System755,Planet3,338.81,338.81,0.16,0.42,30.03,Y,No
System756,Planet1,727.99,727.99,0.17,0.3,67.35,Y,No
System756,Planet2,144.9,144.9,0.12,0.62,42.98,N,No
System756,Planet3,1130.33,1130.33,0.16,0.5,33.56,Y,No
System757,Planet1,1487.64,1487.64,0.27,0.75,46.06,Y,No
System757,Planet2,957.91,957.91,0.3,0.53,-13.99,N,No
System757,Planet3,1384.58,1384.58,0.13,0.77,-17.11,Y,No
System758,Planet1,151.08,151.08,0.29,0.74,-22.13,Y,No
System758,Planet2,1065.02,1065.02,0.12,0.5,-16.05,Y,No
System758,Planet3,20.39,20.39,0.26,0.72,99.04,N,No
System759,Planet1,1361.51,1361.51,0.18,0.76,15.74,Y,No
System759,Planet2,1410.12,1410.12,0.26,0.31,96.89,Y,No
System759,Planet3,1185.08,1185.08,0.29,0.67,-12.97,N,No
System760,Planet1,168.33,168.33,0.11,0.43,93.58,N,No
System760,Planet2,1337.03,1337.03,0.21,0.38,2.88,N,No
System760,Planet3,101.8,101.8,0.16,0.8,64.89,Y,No
System761,Planet1,1248.75,1248.75,0.21,0.31,98.89,N,No
System761,Planet2,1368.69,1368.69,0.19,0.72,62.33,Y,No
System761,Planet3,954.19,954.19,0.16,0.3,45.27,N,No
System762,Planet1,443.3,443.3,0.13,0.5,49.18,N,No
System762,Planet2,106.46,106.46,0.14,0.48,76.37,N,No
System762,Planet3,1010.74,1010.74,0.11,0.75,35.67,N,No
System763,Planet1,387.94,387.94,0.16,0.32,52.61,N,No
System763,Planet2,350.0,350.0,0.23,0.55,64.59,N,No
System763,Planet3,1356.02,1356.02,0.22,0.73,84.68,Y,No
System764,Planet1,846.45,846.45,0.15,0.8,36.05,Y,No
System764,Planet2,881.74,881.74,0.22,0.67,83.42,Y,No
System764,Planet3,587.2,587.2,0.21,0.59,56.99,Y,No
System765,Planet1,1018.11,1018.11,0.2,0.63,27.34,N,No
System765,Planet2,813.03,813.03,0.18,0.69,91.01,N,No
System765,Planet3,1191.02,1191.02,0.25,0.41,17.31,N,No
System766,Planet1,1288.28,1288.28,0.19,0.78,52.77,N,No
System766,Planet2,1441.35,1441.35,0.11,0.48,44.69,Y,No
System766,Planet3,966.88,966.88,0.25,0.53,13.22,N,No
System767,Planet1,337.57,337.57,0.11,0.62,34.91,Y,No
System767,Planet2,1099.4,1099.4,0.12,0.3,75.96,Y,No
System767,Planet3,340.92,340.92,0.15,0.61,91.38,N,No
System768,Planet1,754.28,754.28,0.2,0.61,-2.22,N,No
System768,Planet2,963.36,963.36,0.19,0.4,-28.21,Y,No
System768,Planet3,1136.69,1136.69,0.28,0.54,72.08,Y,No
System769,Planet1,95.84,95.84,0.18,0.63,-21.0,Y,No
System769,Planet2,519.14,519.14,0.22,0.54,-4.84,Y,No
System769,Planet3,587.15,587.15,0.26,0.68,-20.36,Y,No
System770,Planet1,976.41,976.41,0.29,0.44,22.39,Y,No
System770,Planet2,208.31,208.31,0.26,0.67,80.04,Y,No
System770,Planet3,759.62,759.62,0.2,0.68,80.19,N,No
System771,Planet1,675.73,675.73,0.19,0.53,-23.45,Y,No
System771,Planet2,344.71,344.71,0.13,0.72,-11.2,N,No
System771,Planet3,1332.24,1332.24,0.21,0.57,-8.49,Y,No
System772,Planet1,644.06,644.06,0.29,0.69,-22.07,N,No
System772,Planet2,916.7,916.7,0.26,0.69,-19.02,Y,No
System772,Planet3,1392.75,1392.75,0.24,0.58,47.34,Y,No
System773,Planet1,1490.97,1490.97,0.14,0.49,16.92,Y,No
System773,Planet2,577.75,577.75,0.15,0.63,10.98,N,No
System773,Planet3,1216.25,1216.25,0.19,0.44,22.88,N,No
System774,Planet1,1156.38,1156.38,0.17,0.74,87.62,N,No
System774,Planet2,1039.16,1039.16,0.22,0.4,96.99,N,No
System774,Planet3,1165.12,1165.12,0.26,0.36,48.48,N,No
System775,Planet1,777.91,777.91,0.28,0.59,17.29,N,No
System775,Planet2,1142.48,1142.48,0.11,0.69,-9.51,Y,No
System775,Planet3,1140.28,1140.28,0.24,0.52,38.19,Y,No
System776,Planet1,1386.1,1386.1,0.12,0.35,72.0,Y,No
System776,Planet2,20.76,20.76,0.16,0.41,46.0,Y,No
System776,Planet3,881.29,881.29,0.26,0.53,-20.71,N,No
System777,Planet1,306.67,306.67,0.18,0.4,51.32,Y,No
System777,Planet2,1351.85,1351.85,0.22,0.51,-18.34,Y,No
System777,Planet3,586.08,586.08,0.29,0.45,-13.67,N,No
System778,Planet1,708.93,708.93,0.16,0.5,-20.04,N,No
System778,Planet2,55.88,55.88,0.15,0.78,81.15,N,No
System778,Planet3,738.06,738.06,0.29,0.38,0.28,Y,No
System779,Planet1,443.1,443.1,0.17,0.34,18.18,Y,No
System779,Planet2,309.15,309.15,0.1,0.32,13.12,Y,No
System779,Planet3,944.54,944.54,0.15,0.74,-23.47,Y,No
System780,Planet1,434.23,434.23,0.13,0.6,4.24,N,No
System780,Planet2,835.53,835.53,0.29,0.79,-10.45,N,No
System780,Planet3,800.43,800.43,0.28,0.62,-20.86,N,No
System781,Planet1,309.96,309.96,0.23,0.5,-7.35,N,No
System781,Planet2,810.38,810.38,0.19,0.44,12.65,Y,No
System781,Planet3,678.62,678.62,0.23,0.33,1.68,Y,No
System782,Planet1,129.99,129.99,0.13,0.38,86.73,Y,No
System782,Planet2,444.75,444.75,0.22,0.58,78.84,Y,No
System782,Planet3,663.19,663.19,0.17,0.7,71.59,N,No
System783,Planet1,116.89,116.89,0.18,0.56,11.43,N,No
System783,Planet2,270.48,270.48,0.15,0.47,-8.22,N,No
System783,Planet3,285.6,285.6,0.17,0.57,79.69,N,No
System784,Planet1,115.9,115.9,0.13,0.56,37.97,N,No
System784,Planet2,221.5,221.5,0.25,0.57,83.14,N,No
System784,Planet3,260.87,260.87,0.22,0.78,16.82,N,No
System785,Planet1,261.31,261.31,0.21,0.7,-11.93,N,No
System785,Planet2,1080.18,1080.18,0.18,0.49,-17.55,N,No
System785,Planet3,966.61,966.61,0.17,0.45,32.29,Y,No
System786,Planet1,59.09,59.09,0.22,0.73,-18.82,N,No
System786,Planet2,1060.47,1060.47,0.29,0.39,19.91,N,No
System786,Planet3,73.03,73.03,0.22,0.53,44.87,Y,No
System787,Planet1,1257.15,1257.15,0.13,0.51,48.68,Y,No
System787,Planet2,51.97,51.97,0.13,0.79,41.13,N,No
System787,Planet3,165.51,165.51,0.29,0.68,39.31,Y,No
System788,Planet1,299.26,299.26,0.16,0.78,68.81,Y,No
System788,Planet2,639.92,639.92,0.29,0.58,66.52,N,No
System788,Planet3,534.09,534.09,0.19,0.52,33.84,N,No
System789,Planet1,1177.34,1177.34,0.21,0.8,66.51,Y,No
System789,Planet2,963.57,963.57,0.28,0.52,87.28,Y,No
System789,Planet3,1448.59,1448.59,0.1,0.38,-9.58,Y,No
System790,Planet1,170.24,170.24,0.27,0.72,28.61,Y,No
System790,Planet2,29.39,29.39,0.28,0.76,84.59,N,No
System790,Planet3,69.85,69.85,0.26,0.6,19.51,Y,No
System791,Planet1,88.71,88.71,0.24,0.76,-16.62,N,No
System791,Planet2,358.74,358.74,0.27,0.31,75.04,Y,No
System791,Planet3,799.14,799.14,0.25,0.4,66.13,N,No
System792,Planet1,37.82,37.82,0.19,0.4,-4.09,Y,No
System792,Planet2,1212.19,1212.19,0.12,0.41,-0.82,N,No
System792,Planet3,1194.22,1194.22,0.11,0.39,30.4,Y,No
System793,Planet1,875.52,875.52,0.23,0.74,91.99,Y,No
System793,Planet2,631.58,631.58,0.24,0.47,78.53,Y,No
System793,Planet3,1280.78,1280.78,0.27,0.59,83.05,Y,No
System794,Planet1,1013.1,1013.1,0.19,0.59,91.92,Y,No
System794,Planet2,1458.02,1458.02,0.1,0.54,88.65,Y,No
System794,Planet3,751.6,751.6,0.18,0.74,14.67,Y,No
System795,Planet1,382.39,382.39,0.28,0.73,47.06,Y,No
System795,Planet2,1072.72,1072.72,0.28,0.54,82.49,Y,No
System795,Planet3,95.43,95.43,0.25,0.72,69.59,N,No
System796,Planet1,846.38,846.38,0.28,0.64,47.33,N,No
System796,Planet2,752.2,752.2,0.29,0.64,-17.74,N,No
System796,Planet3,280.49,280.49,0.3,0.4,-13.28,N,No
System797,Planet1,1213.99,1213.99,0.16,0.3,20.64,N,No
System797,Planet2,1048.68,1048.68,0.2,0.66,24.2,N,No
System797,Planet3,990.29,990.29,0.14,0.75,37.68,Y,No
System798,Planet1,1198.89,1198.89,0.2,0.4,-16.84,N,No
System798,Planet2,280.34,280.34,0.11,0.42,79.76,N,No
System798,Planet3,312.72,312.72,0.23,0.68,77.82,Y,No
System799,Planet1,570.95,570.95,0.28,0.74,2.16,Y,No
System799,Planet2,528.52,528.52,0.13,0.69,83.78,Y,No
System799,Planet3,1246.28,1246.28,0.13,0.36,-23.94,Y,No
System800,Planet1,1369.29,1369.29,0.11,0.39,76.09,N,No
System800,Planet2,577.97,577.97,0.16,0.77,-21.88,N,No
System800,Planet3,834.45,834.45,0.26,0.35,-11.6,N,No
System801,Planet1,1258.63,1258.63,0.18,0.32,44.43,N,No
System801,Planet2,22.84,22.84,0.26,0.48,34.59,N,No
System801,Planet3,187.46,187.46,0.1,0.38,-8.8,N,No
System802,Planet1,2.95,2.95,0.2,0.73,80.48,Y,No
System802,Planet2,956.2,956.2,0.15,0.69,90.72,N,No
System802,Planet3,205.81,205.81,0.21,0.38,-1.52,Y,No
System803,Planet1,945.03,945.03,0.26,0.73,55.71,Y,No
System803,Planet2,479.45,479.45,0.12,0.51,61.91,Y,No
System803,Planet3,706.08,706.08,0.11,0.49,61.3,Y,No
System804,Planet1,117.16,117.16,0.23,0.76,59.53,Y,No
System804,Planet2,833.09,833.09,0.21,0.44,50.23,N,No
System804,Planet3,1189.37,1189.37,0.17,0.46,84.8,Y,No
System805,Planet1,44.53,44.53,0.29,0.7,80.92,Y,No
System805,Planet2,895.0,895.0,0.14,0.34,19.64,Y,No
System805,Planet3,1482.19,1482.19,0.12,0.4,28.85,Y,No
System806,Planet1,1259.15,1259.15,0.19,0.63,-21.76,N,No
System806,Planet2,525.09,525.09,0.22,0.51,84.02,N,No
System806,Planet3,1092.66,1092.66,0.23,0.64,45.53,N,No
System807,Planet1,85.04,85.04,0.24,0.75,60.52,N,No
System807,Planet2,754.58,754.58,0.29,0.38,18.85,Y,No
System807,Planet3,1316.99,1316.99,0.13,0.38,-9.91,Y,No
System808,Planet1,552.0,552.0,0.3,0.56,-2.92,Y,No
System808,Planet2,129.92,129.92,0.28,0.65,60.62,N,No
System808,Planet3,1242.28,1242.28,0.18,0.39,26.53,N,No
System809,Planet1,734.41,734.41,0.22,0.73,1.1,N,No
System809,Planet2,304.85,304.85,0.27,0.49,12.03,Y,No
System809,Planet3,567.74,567.74,0.28,0.56,27.34,N,No
System810,Planet1,1252.66,1252.66,0.15,0.5,43.75,Y,No
System810,Planet2,797.94,797.94,0.26,0.62,71.24,N,No
System810,Planet3,1395.84,1395.84,0.11,0.57,-5.06,Y,No
System811,Planet1,1456.02,1456.02,0.23,0.44,-25.7,N,No
System811,Planet2,16.17,16.17,0.22,0.4,8.55,Y,No
System811,Planet3,1059.64,1059.64,0.27,0.75,32.41,Y,No
System812,Planet1,458.34,458.34,0.19,0.72,18.1,Y,No
System812,Planet2,1192.97,1192.97,0.14,0.72,93.92,N,No
System812,Planet3,343.83,343.83,0.29,0.38,6.51,Y,No
System813,Planet1,249.33,249.33,0.16,0.39,18.9,Y,No
System813,Planet2,1398.11,1398.11,0.28,0.62,13.21,N,No
System813,Planet3,1035.04,1035.04,0.27,0.34,28.83,N,No
System814,Planet1,903.81,903.81,0.23,0.43,68.42,Y,No
System814,Planet2,1499.02,1499.02,0.11,0.48,85.98,Y,No
System814,Planet3,1275.3,1275.3,0.15,0.45,48.04,Y,No
System815,Planet1,1070.37,1070.37,0.14,0.35,39.35,Y,No
System815,Planet2,724.08,724.08,0.21,0.45,48.86,N,No
System815,Planet3,36.08,36.08,0.17,0.58,52.39,Y,No
System816,Planet1,807.2,807.2,0.17,0.45,93.46,N,No
System816,Planet2,1306.63,1306.63,0.26,0.44,10.57,Y,No
System816,Planet3,505.85,505.85,0.2,0.35,72.99,Y,No
System817,Planet1,1383.16,1383.16,0.21,0.42,62.34,Y,No
System817,Planet2,1163.4,1163.4,0.28,0.37,87.53,Y,No
System817,Planet3,78.91,78.91,0.1,0.68,51.21,Y,No
System818,Planet1,1438.74,1438.74,0.2,0.5,-6.23,N,No
System818,Planet2,226.41,226.41,0.11,0.39,87.89,N,No
System818,Planet3,495.67,495.67,0.14,0.54,-13.13,Y,No
System819,Planet1,79.11,79.11,0.18,0.43,75.81,N,No
System819,Planet2,1065.62,1065.62,0.26,0.48,-24.1,N,No
System819,Planet3,1081.41,1081.41,0.16,0.4,-4.62,Y,No
System820,Planet1,55.26,55.26,0.15,0.57,-5.59,N,No
System820,Planet2,816.0,816.0,0.14,0.77,71.22,N,No
System820,Planet3,1095.81,1095.81,0.12,0.54,-10.48,Y,No
System821,Planet1,1449.21,1449.21,0.2,0.62,-6.33,Y,No
System821,Planet2,821.47,821.47,0.18,0.41,44.73,N,No
System821,Planet3,636.41,636.41,0.17,0.63,-18.61,Y,No
System822,Planet1,414.65,414.65,0.12,0.47,97.08,Y,No
System822,Planet2,1046.76,1046.76,0.11,0.42,-25.24,Y,No
System822,Planet3,736.61,736.61,0.27,0.79,58.87,N,No
System823,Planet1,1328.8,1328.8,0.21,0.78,-9.96,Y,No
System823,Planet2,1133.37,1133.37,0.12,0.66,15.61,N,No
System823,Planet3,1396.33,1396.33,0.14,0.78,28.37,N,No
System824,Planet1,1319.63,1319.63,0.27,0.67,41.29,Y,No
System824,Planet2,1086.74,1086.74,0.15,0.67,-8.03,N,No
System824,Planet3,949.99,949.99,0.26,0.61,66.49,N,No
System825,Planet1,799.31,799.31,0.23,0.53,3.85,Y,No
System825,Planet2,147.81,147.81,0.27,0.38,-20.76,Y,No
System825,Planet3,1480.06,1480.06,0.29,0.74,25.93,Y,No
System826,Planet1,218.42,218.42,0.2,0.59,76.61,N,No
System826,Planet2,412.01,412.01,0.3,0.54,3.56,Y,No
System826,Planet3,1323.32,1323.32,0.22,0.51,-12.9,Y,No
System827,Planet1,38.49,38.49,0.26,0.44,-29.22,N,No
System827,Planet2,1241.45,1241.45,0.27,0.31,39.81,N,No
System827,Planet3,1295.27,1295.27,0.29,0.56,21.39,Y,No
System828,Planet1,1205.64,1205.64,0.21,0.58,-18.41,N,No
System828,Planet2,8.66,8.66,0.28,0.6,-12.18,N,No
System828,Planet3,858.62,858.62,0.1,0.45,71.96,N,No
System829,Planet1,17.01,17.01,0.19,0.37,70.17,N,No
System829,Planet2,499.75,499.75,0.24,0.77,39.25,Y,No
System829,Planet3,897.68,897.68,0.2,0.4,3.77,N,No
System830,Planet1,1445.02,1445.02,0.3,0.75,64.08,N,No
System830,Planet2,1265.72,1265.72,0.27,0.31,57.46,N,No
System830,Planet3,1441.15,1441.15,0.24,0.39,-23.23,Y,No
System831,Planet1,1174.15,1174.15,0.18,0.75,36.27,N,No
System831,Planet2,442.5,442.5,0.19,0.32,-15.72,N,No
System831,Planet3,902.11,902.11,0.29,0.67,41.21,N,No
System832,Planet1,1335.47,1335.47,0.11,0.52,-8.15,Y,No
